policy,seed,benefit,completed_tasks,completion_rate,relevant_completion_rate,average_response_time,makespan,flight_time,failures,invalid_actions,steps
PPO,53,0.6048787922596596,6,1.0,0.6666666666666666,9.333333333333334,53.0,24.642891494671815,0,0,13
Greedy online,54,0.6669394353859603,6,1.0,1.0,14.833333333333334,70.0,32.99280497622054,2,0,18
PPO,54,0.6595156086764185,6,1.0,0.8333333333333334,13.5,67.0,32.30980679007567,1,0,18
Greedy online,55,0.7915728007383618,6,1.0,0.6666666666666666,12.333333333333334,62.0,32.9334004440951,1,0,15
PPO,55,0.8508638240419107,6,1.0,0.8333333333333334,11.333333333333334,64.0,33.65591568750888,1,0,15
Greedy online,56,0.6029510549455186,6,1.0,0.6666666666666666,12.833333333333334,75.0,32.55354787270671,1,0,17
PPO,56,0.5857640053912292,6,1.0,0.5,12.833333333333334,75.0,32.55354787270671,1,0,17
Greedy online,57,0.8746591333081953,6,1.0,0.8333333333333334,11.833333333333334,61.0,28.067105809780518,0,0,13
PPO,57,0.872462094597833,6,1.0,0.8333333333333334,13.0,59.0,31.640992146073604,0,0,15
Greedy online,58,0.7357515305192363,6,1.0,0.8333333333333334,10.333333333333334,61.0,28.201865138875615,1,0,15
PPO,58,0.7357515305192363,6,1.0,0.8333333333333334,10.333333333333334,61.0,28.49871228109252,1,0,15
Greedy online,59,0.8028306463103237,6,1.0,0.8333333333333334,11.833333333333334,58.0,36.44732712584949,0,0,16
PPO,59,0.8028306463103237,6,1.0,0.8333333333333334,11.833333333333334,58.0,36.553235098660835,0,0,16
Greedy online,60,0.8256272355478076,6,1.0,0.8333333333333334,11.5,61.0,34.429584987362084,0,0,16
PPO,60,0.8830137663492876,6,1.0,1.0,9.833333333333334,51.0,33.586207878001105,0,0,15
Greedy online,61,0.7423336741247774,6,1.0,0.8333333333333334,11.833333333333334,47.0,33.86173825959223,0,0,14
PPO,61,0.7232431758030855,6,1.0,0.8333333333333334,13.166666666666666,52.0,33.03483145818391,0,0,15
Greedy online,62,0.7706116983314848,6,1.0,0.8333333333333334,10.5,62.0,34.952303248161606,0,0,16
PPO,62,0.7706116983314848,6,1.0,0.8333333333333334,10.5,62.0,34.94823648024673,0,0,16
Greedy online,63,0.742351051440311,6,1.0,0.8333333333333334,15.833333333333334,47.0,29.992999762050417,0,0,12
PPO,63,0.8270362854151418,6,1.0,1.0,15.5,46.0,32.05355674572535,0,0,14
