Execution ID,Run ID,Run Correlative,Run Total,Scenario,Seed,Tasks,Method,Normalized Mission Value,Weighted Impact Coverage,Impact Coverage,Physical Completed Tasks,Physical Completion Rate,Medical Evacuees,Personnel Transported,Cargo Delivered kg,Medical Impact Coverage,Personnel Impact Coverage,Cargo Impact Coverage,Average Response Time,Maximum Response Time,Makespan,Total Flight Time,Task Flight Time,Return Flight Time,Value per Flight Minute,Runtime sec,Solver Time sec,Graph Time sec,Matrix Time sec,End-to-end sec,Optimal Certified,MIP Gap,Primal Bound,Dual Bound,Variables,Constraints,Nonzeros,Solver Message,MIP Nodes,Time Limit sec
20260731_124647-0400,20260731_124647-0400-0088,88,150,A4x4_T40_S28,28,40,HiGHS-60s,0.35000324788332754,0.4647686832740213,0.45818181818181825,19.0,0.475,22.0,11.0,800.0,0.46808510638297873,0.5,0.35555555555555557,39.78947368421053,81.0,90.0,187.39919248209213,97.2292881352162,90.16990434687587,0.0018676881327371454,12.547451207996346,12.547451207996346,0.3938700419384986,0.05177754198666662,12.993098791921511,True,0.0,0.3500032478833275,0.3500032478833275,66942.0,22180.0,178690.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.0,60.0
20260731_124647-0400,20260731_124647-0400-0088,88,150,A4x4_T40_S28,28,40,HiGHS-600s,0.35000324788332754,0.4647686832740213,0.45818181818181825,19.0,0.475,22.0,11.0,800.0,0.46808510638297873,0.5,0.35555555555555557,39.78947368421053,81.0,90.0,187.39919248209213,97.2292881352162,90.16990434687587,0.0018676881327371454,12.444331333972514,12.444331333972514,0.3938700419384986,0.05177754198666662,12.889978917897679,True,0.0,0.3500032478833275,0.3500032478833275,66942.0,22180.0,178690.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.0,600.0
20260731_124647-0400,20260731_124647-0400-0089,89,150,A4x4_T40_S29,29,40,Greedy-Benefit,0.29298381842348037,0.49149797570850207,0.48609271523178804,19.0,0.475,20.0,8.0,1450.0,0.5405405405405406,0.36363636363636365,0.5272727272727272,52.26315789473684,88.0,106.0,252.6981057989284,144.38072819603155,108.31737760289685,0.001159422297595722,0.0018431670032441616,,,,0.0018434999510645866,False,,,,,,,Constructive heuristic,,
20260731_124647-0400,20260731_124647-0400-0089,89,150,A4x4_T40_S29,29,40,Greedy-Density-Operational,0.32630975776845494,0.5157894736842104,0.5125827814569534,20.0,0.5,20.0,10.0,1450.0,0.5405405405405406,0.45454545454545453,0.5272727272727272,44.6,95.0,114.0,264.241274956987,135.7440883236801,128.49718663330688,0.0012348932157611311,0.001688583055511117,,,,0.0016887909732758999,False,,,,,,,Constructive heuristic,,
20260731_124647-0400,20260731_124647-0400-0089,89,150,A4x4_T40_S29,29,40,Greedy-Density-Cycle,0.32627589152108427,0.5319838056680161,0.5258278145695362,21.0,0.525,21.0,10.0,1450.0,0.5675675675675675,0.45454545454545453,0.5272727272727272,46.714285714285715,95.0,114.0,263.86283057974794,135.55486613506056,128.30796444468734,0.00123653600927499,0.001683874987065792,,,,0.001684166956692934,False,,,,,,,Constructive heuristic,,
20260731_124647-0400,20260731_124647-0400-0089,89,150,A4x4_T40_S29,29,40,HiGHS-1s,,,,,,,,,,,,,,,,,,,4.452513250056654,4.452513250056654,0.31591804197523743,0.08065812499262393,4.849089417024516,False,,,,54256.0,19136.0,143676.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is At lower/fixed bound),,1.0
20260731_124647-0400,20260731_124647-0400-0089,89,150,A4x4_T40_S29,29,40,HiGHS-5s,,,,,,,,,,,,,,,,,,,5.022838750039227,5.022838750039227,0.31591804197523743,0.08065812499262393,5.419414917007089,False,,,,54256.0,19136.0,143676.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is At lower/fixed bound),,5.0
20260731_124647-0400,20260731_124647-0400-0089,89,150,A4x4_T40_S29,29,40,HiGHS-15s,0.3784778354993121,0.5578947368421051,0.5549668874172183,21.0,0.525,22.0,10.0,1650.0,0.5945945945945946,0.45454545454545453,0.6,42.666666666666664,98.0,110.0,226.4709994717407,116.83321405097192,109.63778542076878,0.0016711977974316263,7.026523375068791,7.026523375068791,0.31591804197523743,0.08065812499262393,7.423099542036653,True,0.0,0.3784778354993121,0.3784778354993121,54256.0,19136.0,143676.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.0,15.0
20260731_124647-0400,20260731_124647-0400-0089,89,150,A4x4_T40_S29,29,40,HiGHS-60s,0.3784778354993121,0.5578947368421051,0.5549668874172183,21.0,0.525,22.0,10.0,1650.0,0.5945945945945946,0.45454545454545453,0.6,42.666666666666664,98.0,110.0,226.4709994717407,116.83321405097192,109.63778542076878,0.0016711977974316263,6.799536124919541,6.799536124919541,0.31591804197523743,0.08065812499262393,7.1961122918874025,True,0.0,0.3784778354993121,0.3784778354993121,54256.0,19136.0,143676.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.0,60.0
20260731_124647-0400,20260731_124647-0400-0089,89,150,A4x4_T40_S29,29,40,HiGHS-600s,0.3784778354993121,0.5578947368421051,0.5549668874172183,21.0,0.525,22.0,10.0,1650.0,0.5945945945945946,0.45454545454545453,0.6,42.666666666666664,98.0,110.0,226.4709994717407,116.83321405097192,109.63778542076878,0.0016711977974316263,6.807824624935165,6.807824624935165,0.31591804197523743,0.08065812499262393,7.204400791903026,True,0.0,0.3784778354993121,0.3784778354993121,54256.0,19136.0,143676.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.0,600.0
20260731_124647-0400,20260731_124647-0400-0090,90,150,A4x4_T40_S30,30,40,Greedy-Benefit,0.30255596887671254,0.44743701129452645,0.445344129554656,17.0,0.425,10.0,17.0,1000.0,0.4,0.53125,0.3508771929824561,47.470588235294116,93.0,113.0,267.1651657661457,139.5339572676718,127.63120849847394,0.0011324678799688468,0.00180154200643301,,,,0.0018019590061157942,False,,,,,,,Constructive heuristic,,
20260731_124647-0400,20260731_124647-0400-0090,90,150,A4x4_T40_S30,30,40,Greedy-Density-Operational,0.3253195283682139,0.4552562988705473,0.4507422402159246,18.0,0.45,13.0,12.0,1400.0,0.52,0.375,0.49122807017543857,44.666666666666664,100.0,119.0,280.3625824987003,144.0326059005212,136.3299765981791,0.0011603528740135,0.0015502499882131815,,,,0.001550499931909144,False,,,,,,,Constructive heuristic,,
20260731_124647-0400,20260731_124647-0400-0090,90,150,A4x4_T40_S30,30,40,Greedy-Density-Cycle,0.3253195283682139,0.4552562988705473,0.4507422402159246,18.0,0.45,13.0,12.0,1400.0,0.52,0.375,0.49122807017543857,44.666666666666664,100.0,119.0,280.3625824987003,144.0326059005212,136.3299765981791,0.0011603528740135,0.0014847919810563326,,,,0.0014850420411676168,False,,,,,,,Constructive heuristic,,
20260731_124647-0400,20260731_124647-0400-0090,90,150,A4x4_T40_S30,30,40,HiGHS-1s,,,,,,,,,,,,,,,,,,,11.016175791970454,11.016175791970454,0.6808845420600846,0.1623271250864491,11.859387459116988,False,,,,143996.0,32970.0,399062.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is At lower/fixed bound),,1.0
20260731_124647-0400,20260731_124647-0400-0090,90,150,A4x4_T40_S30,30,40,HiGHS-5s,,,,,,,,,,,,,,,,,,,11.060023875092156,11.060023875092156,0.6808845420600846,0.1623271250864491,11.90323554223869,False,,,,143996.0,32970.0,399062.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is At lower/fixed bound),,5.0
20260731_124647-0400,20260731_124647-0400-0090,90,150,A4x4_T40_S30,30,40,HiGHS-15s,,,,,,,,,,,,,,,,,,,15.038492792053148,15.038492792053148,0.6808845420600846,0.1623271250864491,15.881704459199682,False,,,,143996.0,32970.0,399062.0,Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is At lower/fixed bound),,15.0
