Tasks,Method,Normalized Mission Value,Normalized Mission Value,Normalized Mission Value,Weighted Impact Coverage,Weighted Impact Coverage,Weighted Impact Coverage,Physical Completed Tasks,Physical Completed Tasks,Physical Completed Tasks,Medical Evacuees,Medical Evacuees,Medical Evacuees,Personnel Transported,Personnel Transported,Personnel Transported,Cargo Delivered kg,Cargo Delivered kg,Cargo Delivered kg,Average Response Time,Average Response Time,Average Response Time,Total Flight Time,Total Flight Time,Total Flight Time,Runtime sec,Runtime sec,Runtime sec,End-to-end sec,End-to-end sec,End-to-end sec,MIP Gap,MIP Gap,MIP Gap
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
30,Greedy-Density-Cycle,0.3727900760069207,0.05349832551597635,30,0.5617298994097276,0.06892470323054749,30,16.266666666666666,1.700574615531029,30,15.933333333333334,3.8050178606072573,30,9.9,4.404934537068862,30,1148.3333333333333,538.5938482134134,30,40.94239140145487,3.60212912803366,30,230.1170833990139,27.307756319107163,30,0.0012475791076819102,8.603068118337281e-05,30,0.0012478040841718515,8.604074430585462e-05,30,,,0
30,Greedy-Density-Operational,0.3740689970996554,0.05312763767896356,30,0.5645014788465772,0.06894742252807401,30,16.3,1.6640208884630565,30,16.066666666666666,3.7132877274898095,30,9.766666666666667,4.280536006827548,30,1178.3333333333333,521.8804416744307,30,41.33663024611554,3.737265178059573,30,234.38455198544037,30.130740651657845,30,0.0013367140394014616,9.834388893836738e-05,30,0.001336965395603329,9.835341656042844e-05,30,,,0
30,HiGHS-15s,0.4326830945175407,0.050413907509204055,29,0.6053321697241713,0.05589953683783655,29,16.517241379310345,1.6609095970747991,29,18.137931034482758,4.595993114590099,29,10.517241379310345,4.763107401500265,29,1031.0344827586207,514.3327496280025,29,42.062692100433644,2.7664106664514425,29,226.2825287258718,24.152651553359846,29,4.45982830413462,3.2513586203002247,30,4.653724790399428,3.332744084068577,30,0.0018886345721315799,0.010170608431380516,29
30,HiGHS-1s,0.3423610798277758,,1,0.5165031222123105,,1,14.0,,1,18.0,,1,6.0,,1,2150.0,,1,41.5,,1,232.82076897048586,,1,3.0729663721712615,1.2508633036679915,30,3.2668628584360704,1.338427700078804,30,0.0,,1
30,HiGHS-5s,0.4032898110128193,0.06698962446109555,27,0.5687295594280009,0.08971114039255698,27,15.74074074074074,2.0679345435369267,27,17.14814814814815,4.571682939606037,27,9.444444444444445,4.163331998932266,27,1064.8148148148148,496.49053264171016,27,41.49453154758452,2.5621506284697966,27,216.29014237455917,38.15983309703386,27,3.6643922916574714,1.375439980100203,30,3.8582887779222803,1.4619246382278017,30,1.983908342665916,6.988683158575356,27
30,HiGHS-600s,0.4355658723834565,0.05062912065904959,30,0.6112850543077191,0.05705290422645682,30,16.733333333333334,1.6801751413906605,30,18.1,4.428356899300937,30,10.6,4.702163845251058,30,1043.3333333333333,507.1443604131378,30,42.25142869428473,2.3633733337262344,30,227.6240462617476,22.89099994769979,30,4.525590612432764,3.354033358378873,30,4.719487098697573,3.4356630736815035,30,0.0,0.0,30
30,HiGHS-60s,0.4355658723834565,0.05062912065904959,30,0.6112850543077191,0.05705290422645682,30,16.733333333333334,1.6801751413906605,30,18.1,4.428356899300937,30,10.6,4.702163845251058,30,1043.3333333333333,507.1443604131378,30,42.25142869428473,2.3633733337262344,30,227.6240462617476,22.89099994769979,30,4.5205661930299055,3.3793123316123004,30,4.714462679294714,3.4614170484405062,30,0.0,0.0,30
40,Greedy-Benefit,0.2981897739182175,0.042873062568137055,30,0.4556652851940201,0.05058688270612859,30,16.833333333333332,1.641768040513207,30,18.033333333333335,4.295011808689425,30,9.666666666666666,3.1767835971291,30,1211.6666666666667,552.5307501714791,30,45.98755843858011,3.813397275668326,30,237.80203279742483,26.018828221299376,30,0.001892382053968807,0.00017135953122842214,30,0.001892661190746973,0.00017136250225459327,30,,,0
40,Greedy-Density-Cycle,0.3052916757210679,0.043805486725911946,30,0.46880059841075006,0.052231744644171796,30,18.066666666666666,1.855714999917697,30,17.633333333333333,4.327006876091963,30,10.733333333333333,3.463437930561277,30,1351.6666666666667,504.54543101094765,30,42.939726918678154,3.7794711661489844,30,238.91709017689874,29.19997582215212,30,0.0015768000235160192,0.00010176706428148954,30,0.0015770499982560675,0.00010175856429548935,30,,,0
40,Greedy-Density-Operational,0.3052522474086198,0.04474299501074208,30,0.4693310646279292,0.049442408967721854,30,17.966666666666665,1.7904600320690718,30,17.566666666666666,4.280536006827548,30,10.966666666666667,3.448971194262221,30,1323.3333333333333,503.90429669718543,30,42.784634858462255,3.5969613237393663,30,240.2166375162269,29.64668750877439,30,0.0016512847893560927,0.0001020280445786629,30,0.0016515528045905133,0.00010204036868183977,30,,,0
