tasks,ppo_seed,timestep,episode_return,episode_length,instance_seed
20,218,11975,0.238034,34,1039
20,218,12009,0.258029,34,1002
20,218,12045,0.328458,36,1046
20,218,12078,0.410963,33,1004
20,218,12113,0.369552,35,1011
20,218,12153,0.319014,40,1023
20,218,12192,0.230234,39,1047
20,218,12228,0.242522,36,1008
20,218,12266,0.339429,38,1042
20,218,12306,0.312386,40,1019
20,218,12344,0.254176,38,1047
20,218,12381,0.29482,37,1024
20,218,12423,0.311704,42,1032
20,218,12465,0.266269,42,1001
20,218,12501,0.244261,36,1012
20,218,12539,0.29669,38,1005
20,218,12580,0.371168,41,1043
20,218,12614,0.279591,34,1019
20,218,12644,0.333642,30,1032
20,218,12681,0.223781,37,1048
20,218,12721,0.301188,40,1055
20,218,12764,0.262062,43,1020
20,218,12797,0.189635,33,1060
20,218,12842,0.2244,45,1013
20,218,12877,0.260633,35,1014
20,218,12918,0.355864,41,1032
20,218,12952,0.358352,34,1033
20,218,12984,0.297059,32,1027
20,218,13022,0.337116,38,1020
20,218,13061,0.295943,39,1011
20,218,13099,0.299998,38,1033
20,218,13134,0.306742,35,1043
20,218,13171,0.253317,37,1002
20,218,13203,0.268281,32,1023
20,218,13244,0.365779,41,1032
20,218,13286,0.381319,42,1011
20,218,13324,0.322538,38,1011
20,218,13365,0.196352,41,1008
20,218,13402,0.238882,37,1057
20,218,13442,0.305353,40,1023
20,218,13478,0.331353,36,1041
20,218,13515,0.232418,37,1030
20,218,13546,0.215227,31,1016
20,218,13598,0.266353,52,1020
20,218,13633,0.300528,35,1043
20,218,13673,0.342048,40,1046
20,218,13705,0.173934,32,1036
20,218,13743,0.353273,38,1017
20,218,13780,0.181257,37,1003
20,218,13821,0.348577,41,1006
20,218,13855,0.283094,34,1010
20,218,13896,0.35121,41,1046
20,218,13937,0.332585,41,1016
20,218,13971,0.251546,34,1038
20,218,14017,0.252565,46,1001
20,218,14050,0.324089,33,1034
20,218,14086,0.267251,36,1046
20,218,14120,0.302813,34,1046
20,218,14155,0.278786,35,1010
20,218,14189,0.29571,34,1014
20,218,14229,0.34267,40,1033
20,218,14261,0.365842,32,1011
20,218,14292,0.272123,31,1051
20,218,14332,0.188053,40,1034
20,218,14369,0.311706,37,1001
20,218,14406,0.326173,37,1043
20,218,14441,0.308862,35,1041
20,218,14482,0.264573,41,1005
20,218,14520,0.37409,38,1055
20,218,14559,0.239573,39,1045
20,218,14598,0.316617,39,1055
20,218,14640,0.285847,42,1007
20,218,14677,0.323491,37,1026
20,218,14716,0.249266,39,1044
20,218,14750,0.198983,34,1036
20,218,14791,0.325489,41,1020
20,218,14829,0.2411,38,1057
20,218,14867,0.375481,38,1059
20,218,14911,0.242589,44,1056
20,218,14948,0.181583,37,1033
20,218,14988,0.351597,40,1053
20,218,15026,0.277873,38,1035
20,218,15069,0.253366,43,1034
20,218,15109,0.399558,40,1004
20,218,15146,0.236876,37,1057
20,218,15186,0.332228,40,1016
20,218,15221,0.324345,35,1027
20,218,15259,0.30824,38,1024
20,218,15301,0.262859,42,1047
20,218,15343,0.400607,42,1048
20,218,15378,0.144962,35,1060
20,218,15420,0.346808,42,1018
20,218,15460,0.236811,40,1013
20,218,15499,0.233214,39,1002
20,218,15532,0.294402,33,1030
20,218,15583,0.25951,51,1037
20,218,15614,0.241425,31,1010
20,218,15657,0.327085,43,1009
20,218,15697,0.300045,40,1036
20,218,15732,0.293287,35,1058
20,218,15772,0.322199,40,1002
20,218,15810,0.283494,38,1017
20,218,15850,0.32698,40,1055
20,218,15893,0.213659,43,1032
20,218,15928,0.248667,35,1003
20,218,15962,0.144743,34,1060
20,218,15994,0.317588,32,1002
20,218,16031,0.302831,37,1014
20,218,16065,0.272457,34,1051
20,218,16100,0.334094,35,1011
20,218,16139,0.249176,39,1019
20,218,16170,0.227304,31,1053
20,218,16212,0.277195,42,1004
20,218,16247,0.284474,35,1046
20,218,16280,0.331966,33,1037
20,218,16318,0.3365,38,1024
20,218,16351,0.209531,33,1010
20,218,16392,0.386988,41,1009
20,218,16423,0.360636,31,1056
20,218,16465,0.281667,42,1007
20,218,16502,0.25896,37,1015
20,218,16537,0.309008,35,1044
20,218,16572,0.388968,35,1014
20,218,16603,0.254347,31,1005
20,218,16648,0.216416,45,1029
20,218,16685,0.44785,37,1025
20,218,16726,0.278938,41,1005
20,218,16763,0.305467,37,1043
20,218,16804,0.310755,41,1005
20,218,16838,0.250821,34,1030
20,218,16872,0.256179,34,1008
20,218,16914,0.342564,42,1031
20,218,16953,0.26188,39,1013
20,218,16990,0.243155,37,1010
20,218,17031,0.294575,41,1027
20,218,17068,0.327115,37,1047
20,218,17106,0.424109,38,1025
20,218,17148,0.331991,42,1027
20,218,17187,0.30624,39,1027
20,218,17225,0.202301,38,1013
20,218,17266,0.282742,41,1048
20,218,17310,0.299141,44,1018
20,218,17346,0.234455,36,1038
20,218,17378,0.236299,32,1051
20,218,17422,0.410983,44,1020
20,218,17460,0.309805,38,1031
20,218,17491,0.266437,31,1047
20,218,17527,0.36366,36,1007
20,218,17566,0.312929,39,1046
20,218,17614,0.295329,48,1048
20,218,17657,0.256249,43,1034
20,218,17698,0.306481,41,1011
20,218,17738,0.316336,40,1015
20,218,17775,0.292063,37,1035
20,218,17811,0.275359,36,1033
20,218,17842,0.318324,31,1017
20,218,17888,0.255756,46,1005
20,218,17924,0.308571,36,1010
20,218,17965,0.326455,41,1043
20,218,18003,0.371487,38,1042
20,218,18041,0.29344,38,1036
20,218,18084,0.317245,43,1002
