Scenario,Method,Helo ID,Task ID,Node,Flight Time,Service Time,Total Task Time,Completion Time,Benefit,Remaining Load,Remaining Medical,Remaining Personnel,Status
default_nodes_T20_S14,Exact-HiGHS,4,13,C,11.858541225631424,6.0,17.858541225631424,62.0,0.007399839164279772,250,3,0,Task Executed
default_nodes_T20_S14,Exact-HiGHS,2,Idle,Base,5.5901699437494745,2.0,7.5901699437494745,66.0,0.0,500,3,3,Idle
default_nodes_T20_S14,Exact-HiGHS,1,8,C,4.47213595499958,6.0,10.47213595499958,67.0,0.0020024888727963905,0,2,0,Task Executed
default_nodes_T20_S14,Exact-HiGHS,3,Idle,Base,13.552618543578768,2.0,15.552618543578768,72.0,0.0,500,3,3,Idle
default_nodes_T20_S14,Exact-HiGHS,4,Idle,Base,11.858541225631424,2.0,13.858541225631424,76.0,0.0,500,3,3,Idle
default_nodes_T20_S14,Exact-HiGHS,1,Idle,Base,12.649110640673518,2.0,14.649110640673518,82.0,0.0,500,3,3,Idle
default_nodes_T20_S14,Exact-HiGHS,2,19,C,15.811388300841896,6.0,21.811388300841898,88.0,7.021887228323684e-05,0,3,0,Task Executed
default_nodes_T20_S14,Exact-HiGHS,3,4,C,13.552618543578768,6.0,19.552618543578767,92.0,2.9811076088663842e-05,0,3,1,Task Executed
default_nodes_T20_S14,Exact-HiGHS,2,Idle,Base,15.811388300841896,2.0,17.811388300841898,106.0,0.0,500,3,3,Idle
default_nodes_T20_S14,Exact-HiGHS,3,Idle,Base,13.552618543578768,2.0,15.552618543578768,108.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Greedy,1,15,A,4.47213595499958,6.0,10.47213595499958,11.0,0.06153846153846154,400,0,1,Task Executed
default_nodes_T20_S15,Greedy,2,16,A,5.5901699437494745,6.0,11.590169943749475,12.0,0.06153846153846154,150,2,2,Task Executed
default_nodes_T20_S15,Greedy,3,17,A,4.79157423749955,6.0,10.79157423749955,11.0,0.06153846153846154,0,0,2,Task Executed
default_nodes_T20_S15,Greedy,4,19,A,4.192627457812106,6.0,10.192627457812106,11.0,0.06153846153846154,250,2,0,Task Executed
default_nodes_T20_S15,Greedy,1,1,A,0.0,6.0,6.0,17.0,0.040398988549153046,0,0,0,Task Executed
default_nodes_T20_S15,Greedy,3,Idle,Base,4.79157423749955,2.0,6.79157423749955,18.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Greedy,4,13,C,7.7308230480331135,6.0,13.730823048033113,25.0,0.028839074317738776,150,2,0,Task Executed
default_nodes_T20_S15,Greedy,2,14,A,0.0,6.0,6.0,18.0,0.032428793488269624,50,2,0,Task Executed
default_nodes_T20_S15,Greedy,1,Idle,Base,4.47213595499958,2.0,6.47213595499958,24.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Greedy,2,Idle,Base,5.5901699437494745,2.0,7.5901699437494745,26.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Greedy,3,11,C,13.552618543578768,6.0,19.552618543578767,38.0,0.053448259965119094,150,1,2,Task Executed
default_nodes_T20_S15,Greedy,1,5,A,4.47213595499958,6.0,10.47213595499958,35.0,0.04372648091696952,50,3,2,Task Executed
default_nodes_T20_S15,Greedy,4,Idle,Base,11.858541225631424,2.0,13.858541225631424,39.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Greedy,2,18,B,12.5,6.0,18.5,45.0,0.02751154305427582,250,1,2,Task Executed
default_nodes_T20_S15,Greedy,1,Idle,Base,4.47213595499958,2.0,6.47213595499958,42.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Greedy,3,8,C,0.0,6.0,6.0,44.0,0.015256788008035864,0,1,1,Task Executed
default_nodes_T20_S15,Greedy,4,4,B,9.375,6.0,15.375,55.0,0.010431787768474822,150,3,0,Task Executed
default_nodes_T20_S15,Greedy,1,9,C,12.649110640673518,6.0,18.64911064067352,61.0,0.010515325734040962,350,3,0,Task Executed
default_nodes_T20_S15,Greedy,3,Idle,Base,13.552618543578768,2.0,15.552618543578768,60.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Greedy,2,Idle,Base,12.5,2.0,14.5,60.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Greedy,4,Idle,Base,9.375,2.0,11.375,67.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Greedy,3,6,C,13.552618543578768,6.0,19.552618543578767,80.0,1.19619201348739e-05,150,3,3,Task Executed
default_nodes_T20_S15,Greedy,1,Idle,Base,12.649110640673518,2.0,14.649110640673518,76.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Greedy,3,Idle,Base,13.552618543578768,2.0,15.552618543578768,96.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Exact-HiGHS,1,19,A,4.47213595499958,6.0,10.47213595499958,11.0,0.06153846153846154,250,2,0,Task Executed
default_nodes_T20_S15,Exact-HiGHS,3,1,A,4.79157423749955,6.0,10.79157423749955,11.0,0.04549295192162606,100,3,2,Task Executed
default_nodes_T20_S15,Exact-HiGHS,4,14,A,4.192627457812106,6.0,10.192627457812106,11.0,0.04358339614738576,400,3,1,Task Executed
default_nodes_T20_S15,Exact-HiGHS,2,17,A,5.5901699437494745,6.0,11.590169943749475,12.0,0.06153846153846154,0,0,2,Task Executed
default_nodes_T20_S15,Exact-HiGHS,3,15,A,0.0,6.0,6.0,17.0,0.06153846153846154,0,0,0,Task Executed
default_nodes_T20_S15,Exact-HiGHS,1,Idle,Base,4.47213595499958,2.0,6.47213595499958,18.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Exact-HiGHS,2,Idle,Base,5.5901699437494745,2.0,7.5901699437494745,20.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Exact-HiGHS,4,18,B,5.303300858899107,6.0,11.303300858899107,23.0,0.060043053347502116,150,1,0,Task Executed
default_nodes_T20_S15,Exact-HiGHS,3,Idle,Base,4.79157423749955,2.0,6.79157423749955,24.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Exact-HiGHS,2,16,A,5.5901699437494745,6.0,11.590169943749475,32.0,0.06153846153846154,150,2,2,Task Executed
default_nodes_T20_S15,Exact-HiGHS,4,13,C,4.192627457812106,6.0,10.192627457812106,34.0,0.020837004161834056,50,1,0,Task Executed
default_nodes_T20_S15,Exact-HiGHS,3,5,A,4.79157423749955,6.0,10.79157423749955,35.0,0.04372648091696952,50,3,2,Task Executed
default_nodes_T20_S15,Exact-HiGHS,1,11,C,12.649110640673518,6.0,18.64911064067352,37.0,0.05447974661507153,150,1,2,Task Executed
default_nodes_T20_S15,Exact-HiGHS,2,Idle,Base,5.5901699437494745,2.0,7.5901699437494745,40.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Exact-HiGHS,3,Idle,Base,4.79157423749955,2.0,6.79157423749955,42.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Exact-HiGHS,1,8,C,0.0,6.0,6.0,43.0,0.01630442128540156,0,1,1,Task Executed
default_nodes_T20_S15,Exact-HiGHS,4,Idle,Base,11.858541225631424,2.0,13.858541225631424,48.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Exact-HiGHS,1,Idle,Base,12.649110640673518,2.0,14.649110640673518,58.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Exact-HiGHS,2,4,B,12.5,6.0,18.5,59.0,0.0074418023621667115,150,3,0,Task Executed
default_nodes_T20_S15,Exact-HiGHS,3,20,C,13.552618543578768,6.0,19.552618543578767,62.0,0.008502090965597493,0,3,1,Task Executed
default_nodes_T20_S15,Exact-HiGHS,4,7,B,9.375,6.0,15.375,64.0,0.002605254517692881,50,3,2,Task Executed
default_nodes_T20_S15,Exact-HiGHS,2,Idle,Base,12.5,2.0,14.5,74.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Exact-HiGHS,4,Idle,Base,9.375,2.0,11.375,76.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Exact-HiGHS,1,9,C,12.649110640673518,6.0,18.64911064067352,77.0,0.0023685348852340114,350,3,0,Task Executed
default_nodes_T20_S15,Exact-HiGHS,3,Idle,Base,13.552618543578768,2.0,15.552618543578768,78.0,0.0,500,3,3,Idle
default_nodes_T20_S15,Exact-HiGHS,1,Idle,Base,12.649110640673518,2.0,14.649110640673518,92.0,0.0,500,3,3,Idle
default_nodes_T20_S16,Greedy,1,6,A,4.47213595499958,6.0,10.47213595499958,11.0,0.06060606060606061,150,2,1,Task Executed
default_nodes_T20_S16,Greedy,2,13,D,22.360679774997898,6.0,28.360679774997898,29.0,0.05845307576924352,50,1,3,Task Executed
default_nodes_T20_S16,Greedy,3,9,A,4.79157423749955,6.0,10.79157423749955,11.0,0.06060606060606061,300,2,2,Task Executed
default_nodes_T20_S16,Greedy,4,17,B,9.375,6.0,15.375,16.0,0.06060606060606061,200,2,0,Task Executed
default_nodes_T20_S16,Greedy,1,12,A,0.0,6.0,6.0,17.0,0.045454545454545456,100,2,0,Task Executed
default_nodes_T20_S16,Greedy,3,8,B,6.0609152673132645,6.0,12.060915267313264,24.0,0.030303030303030304,150,2,2,Task Executed
default_nodes_T20_S16,Greedy,4,19,D,7.7308230480331135,6.0,13.730823048033113,30.0,0.02848706223003588,0,1,0,Task Executed
default_nodes_T20_S16,Greedy,1,Idle,Base,4.47213595499958,2.0,6.47213595499958,24.0,0.0,500,3,3,Idle
default_nodes_T20_S16,Greedy,1,14,A,4.47213595499958,6.0,10.47213595499958,35.0,0.04258326417651567,50,1,1,Task Executed
default_nodes_T20_S16,Greedy,3,10,D,8.835226340609273,6.0,14.835226340609273,39.0,0.016184551779167923,50,0,1,Task Executed
default_nodes_T20_S16,Greedy,2,Idle,Base,22.360679774997898,2.0,24.360679774997898,54.0,0.0,500,3,3,Idle
default_nodes_T20_S16,Greedy,4,Idle,Base,16.770509831248425,2.0,18.770509831248425,49.0,0.0,500,3,3,Idle
default_nodes_T20_S16,Greedy,1,Idle,Base,4.47213595499958,2.0,6.47213595499958,42.0,0.0,500,3,3,Idle
default_nodes_T20_S16,Greedy,3,Idle,Base,19.1662969499982,2.0,21.1662969499982,61.0,0.0,500,3,3,Idle
default_nodes_T20_S16,Greedy,1,2,B,10.0,6.0,16.0,58.0,0.017119619612126758,300,3,0,Task Executed
default_nodes_T20_S16,Greedy,4,15,D,16.770509831248425,6.0,22.770509831248425,72.0,0.010386186979735174,50,3,1,Task Executed
default_nodes_T20_S16,Greedy,2,1,C,15.811388300841896,6.0,21.811388300841898,76.0,0.0009449612867794004,50,3,0,Task Executed
default_nodes_T20_S16,Greedy,1,20,C,4.47213595499958,6.0,10.47213595499958,69.0,0.0008195584137287941,50,3,0,Task Executed
default_nodes_T20_S16,Greedy,3,11,A,4.79157423749955,6.0,10.79157423749955,72.0,0.0010504529309222498,350,3,0,Task Executed
default_nodes_T20_S16,Greedy,1,Idle,Base,12.649110640673518,2.0,14.649110640673518,84.0,0.0,500,3,3,Idle
default_nodes_T20_S16,Greedy,3,3,A,0.0,6.0,6.0,78.0,0.00011938632011413835,100,3,0,Task Executed
default_nodes_T20_S16,Greedy,4,Idle,Base,16.770509831248425,2.0,18.770509831248425,91.0,0.0,500,3,3,Idle
