Scenario,Tasks,Method,Accumulated Benefit,Optimality Gap vs Exact,Physical Completed Tasks,Physical Completion Rate,Positive Benefit Tasks,Positive Benefit Completion Rate,Operationally Relevant Tasks,Operationally Relevant Completion Rate,Average Response Time,Maximum Response Time,Makespan,Productive Time,Active Time,Productive Utilization,Active Utilization,Total Task Flight Time,Total Return Flight Time,Total Flight Time,Total Recovery Time,Operational Cost Proxy,Task Count Std,Task Count Gini,Workload Std,Workload Gini,Runtime sec,Optimal Certified,MIP Gap,Variables,Constraints,Nonzeros,Solver Message
default_nodes_T50_S28,50,Exact-HiGHS,0.35255035780490235,3.700214806352328e-14,24,0.48,24,0.48,21,0.42,39.0,86.0,102.0,248.7809674751752,358.20619338111413,0.6097572732234686,0.8779563563262601,104.78096747517522,87.42522590593894,192.20619338111416,22.0,214.20619338111416,0.0,0.0,6.890808571313514,0.04081145343128112,86.66197514533997,True,0.0,149820.0,38542.0,410972.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T50_S29,50,Greedy,0.27680231361839863,0.15707211871105098,22,0.44,22,0.44,17,0.34,43.59090909090909,100.0,115.0,256.87768808357976,380.6187578605922,0.5584297567034342,0.8274320823056353,124.87768808357976,101.74106977701244,226.6187578605922,22.0,248.6187578605922,0.5,0.045454545454545414,13.51353088538152,0.07474478479681634,0.0010120868682861328,False,,,,,
default_nodes_T50_S29,50,Exact-HiGHS,0.32838196453428253,4.716340379863743e-14,24,0.48,24,0.48,20,0.4,40.958333333333336,85.0,98.0,247.9448244910669,364.1929882519235,0.6325123073751706,0.9290637455406212,103.9448244910669,94.24816376085661,198.1929882519235,22.0,220.1929882519235,1.0,0.08333333333333326,6.978671721734094,0.03656675226831063,64.40754199028015,True,0.0,114680.0,32831.0,311263.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T50_S30,50,Greedy,0.23067184017698522,0.22643848146671247,18,0.36,18,0.36,15,0.3,46.5,94.0,116.0,261.4826314522532,408.53275234996795,0.563540153991925,0.8804585179956206,153.4826314522532,131.05012089771478,284.53275234996795,16.0,300.53275234996795,0.5,0.05555555555555558,9.845657952493172,0.048723303489730974,0.0008499622344970703,False,,,,,
default_nodes_T50_S30,50,Exact-HiGHS,0.2981945645568705,1.861574885301806e-16,21,0.42,21,0.42,17,0.34,44.0,91.0,106.0,249.6338389419683,390.7498383283062,0.5887590541084158,0.9215798073780808,123.63383894196829,121.11599938633793,244.74983832830623,20.0,264.7498383283062,0.4330127018922193,0.03571428571428581,8.940457318152076,0.042408510940530775,77.26458024978638,True,0.0,177584.0,38496.0,494310.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T60_S1,60,Greedy,0.20481611436814903,0.1622935511651309,18,0.3,18,0.3,14,0.23333333333333334,43.55555555555556,88.0,108.0,245.27198165014414,370.6796519544247,0.5677592167827411,0.8580547498945016,137.27198165014414,109.40767030428054,246.67965195442468,16.0,262.6796519544247,0.5,0.05555555555555558,7.925345008828653,0.039842213109458235,0.0010509490966796875,False,,,,,
default_nodes_T60_S1,60,Exact-HiGHS,0.2444962846508096,0.0,20,0.3333333333333333,20,0.3333333333333333,17,0.2833333333333333,40.75,86.0,102.0,236.38531607850405,367.44967352416967,0.5793757747022158,0.9006119449121806,116.38531607850405,115.0643574456656,231.44967352416967,16.0,247.44967352416967,0.7071067811865476,0.07499999999999996,6.373509556119745,0.037580626307417875,113.12074971199036,True,0.0,164754.0,36670.0,457656.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T60_S2,60,Greedy,0.18008011650737263,0.12291207175513887,18,0.3,18,0.3,12,0.2,49.22222222222222,101.0,115.0,253.12363895277957,402.181030152337,0.5502687803321296,0.8743065872876891,145.12363895277957,129.0573911995574,274.181030152337,20.0,294.181030152337,0.5,0.05555555555555558,12.066568148951017,0.06436341756289021,0.0010590553283691406,False,,,,,
default_nodes_T60_S2,60,Exact-HiGHS,0.20531592182294717,1.3518472103475612e-16,19,0.31666666666666665,19,0.31666666666666665,16,0.26666666666666666,45.31578947368421,99.0,117.0,239.69370265391854,373.11992291735686,0.5121660313117917,0.7972647925584548,125.69370265391854,115.42622026343834,241.11992291735686,18.0,259.11992291735686,0.4330127018922193,0.03947368421052633,11.872368724355484,0.06435961450795036,28.72527503967285,True,0.0,99582.0,28690.0,270120.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T60_S3,60,Greedy,0.1784524316067169,0.21431241467019688,18,0.3,18,0.3,14,0.23333333333333334,48.55555555555556,92.0,114.0,248.58835128567617,410.3747793159898,0.5451498931703425,0.8999446914824338,140.58835128567617,139.7864280303137,280.3747793159898,22.0,302.3747793159898,0.5,0.05555555555555558,7.390799719155295,0.03953138494851571,0.0011758804321289062,False,,,,,
default_nodes_T60_S3,60,Exact-HiGHS,0.22712899495772107,0.0,21,0.35,21,0.35,18,0.3,43.0,91.0,108.0,245.87505394688083,376.3444062275623,0.5691552174696315,0.871167607008246,119.87505394688081,110.46935228068146,230.34440622756227,20.0,250.34440622756227,1.0897247358851685,0.1071428571428572,12.736292989167334,0.07016871117145373,10.813216924667358,True,0.0,80244.0,24485.0,216311.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T60_S4,60,Greedy,0.22520489911807345,0.18780905646275362,21,0.35,21,0.35,16,0.26666666666666666,45.857142857142854,98.0,114.0,259.26427702002064,396.3072532618559,0.5685620110088172,0.8690948536444209,133.26427702002064,117.04297624183526,250.30725326185592,20.0,270.3072532618559,0.4330127018922193,0.03571428571428581,7.194313733472649,0.0370937084087648,0.0010890960693359375,False,,,,,
default_nodes_T60_S4,60,Exact-HiGHS,0.2772807317171787,0.0,24,0.4,24,0.4,22,0.36666666666666664,43.375,101.0,117.0,266.12618039803476,408.16091559733593,0.5686456846111854,0.8721387085413161,122.12618039803478,120.0347351993012,242.160915597336,22.0,264.160915597336,0.7071067811865476,0.0625,8.485016620940753,0.045231307752693795,35.31295299530029,True,0.0,145757.0,36346.0,400989.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T60_S5,60,Greedy,0.2005186709243419,0.22139841622262135,19,0.31666666666666665,19,0.31666666666666665,14,0.23333333333333334,48.36842105263158,105.0,125.0,261.3130723953095,407.537099655219,0.5226261447906191,0.815074199310438,147.31307239530952,126.22402725990945,273.537099655219,20.0,293.537099655219,0.82915619758885,0.09210526315789469,13.814470579033175,0.07321099209655801,0.0011298656463623047,False,,,,,
default_nodes_T60_S5,60,Exact-HiGHS,0.257536942002516,2.1554636317268808e-16,21,0.35,21,0.35,17,0.2833333333333333,42.04761904761905,84.0,96.0,236.52673426858607,360.95305005170934,0.6159550371577762,0.9399819011763264,110.52673426858607,108.42631578312329,218.95305005170934,16.0,234.95305005170934,0.4330127018922193,0.03571428571428581,5.23908891085488,0.03119578637047038,57.09976005554199,True,0.0,168509.0,38714.0,466877.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T60_S6,60,Greedy,0.2029251156666013,0.22607420714906817,19,0.31666666666666665,19,0.31666666666666665,15,0.25,47.526315789473685,98.0,105.0,246.01905924508708,364.7947183270404,0.5857596648692549,0.86855885315962,132.01905924508708,96.77565908195336,228.79471832704044,22.0,250.79471832704044,0.82915619758885,0.09210526315789469,9.480284545436112,0.055549481122581845,0.0012652873992919922,False,,,,,
default_nodes_T60_S6,60,Exact-HiGHS,0.2622022906344554,-2.1171116048199486e-16,22,0.36666666666666664,22,0.36666666666666664,18,0.3,43.27272727272727,85.0,98.0,240.4902023752981,363.1150778936586,0.6134954142226993,0.9263139742185169,108.4902023752981,100.6248755183605,209.1150778936586,22.0,231.1150778936586,0.8660254037844386,0.06818181818181812,5.716508338908714,0.033402370981293616,24.79338526725769,True,0.0,81380.0,23192.0,221012.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
default_nodes_T60_S7,60,Greedy,0.24894106689405562,0.17427967818572987,21,0.35,21,0.35,16,0.26666666666666666,41.04761904761905,88.0,113.0,240.93394284034383,366.3983949091898,0.5330396965494333,0.8106159179406853,114.93394284034382,103.46445206884596,218.3983949091898,22.0,240.3983949091898,0.4330127018922193,0.03571428571428581,14.09352118862105,0.08328264716803302,0.0012359619140625,False,,,,,
